,City Name,Country,Latitude,Longitude,Max. Temp.,Humidity,Cloudiness,Wind,Date
358,Kuytun,RU,54.34,101.5,45.7,72,99,8.5,2020-10-23
359,Terrace,CA,54.52,-128.6,30.2,86,90,14.99,2020-10-23
360,Bowen,AU,-20.02,148.23,84.2,54,40,12.75,2020-10-23
361,Weligama,LK,5.97,80.42,86.47,66,31,13.85,2020-10-23
362,Nome,US,64.5,-165.41,35.6,51,1,11.41,2020-10-23
363,Sangueya,GN,10.7,-14.37,74.95,89,95,1.63,2020-10-23
364,Saint-augustin,CA,51.23,-58.65,31.59,93,59,9.28,2020-10-23
365,Lubao,PH,14.92,120.55,84.2,83,75,11.41,2020-10-23
366,Upernavik,GL,72.79,-56.15,23.79,95,100,5.03,2020-10-23
367,San cristobal,VE,7.77,-72.22,65.48,81,5,1.77,2020-10-23
368,Pedernales,DO,18.04,-71.74,80.24,63,99,4.0,2020-10-23
369,Kanniyakumari,IN,8.08,77.57,85.84,62,77,21.0,2020-10-23
370,Hongjiang,CN,27.11,110.0,75.22,41,0,4.7,2020-10-23
371,Aasiaat,GL,68.71,-52.87,16.65,97,92,5.7,2020-10-23
372,Nowogard,PL,53.67,15.12,53.01,93,75,5.82,2020-10-23
373,Pangnirtung,CA,66.15,-65.71,24.8,92,90,4.7,2020-10-23
374,San patricio,US,28.02,-97.52,79.0,100,20,4.7,2020-10-23
375,Lavrentiya,RU,65.58,-171.0,35.28,87,27,12.59,2020-10-23
376,Tibagi,BR,-24.51,-50.41,60.24,85,3,5.73,2020-10-23
377,Rio gallegos,AR,-51.62,-69.22,42.8,93,75,2.24,2020-10-23
378,Yazoo city,US,32.86,-90.41,71.6,100,1,6.69,2020-10-23
379,Kushiro,JP,42.98,144.37,55.4,100,75,10.29,2020-10-23
380,Shelburne,CA,44.08,-80.2,52.0,100,90,10.29,2020-10-23
381,Rocha,UY,-34.48,-54.33,59.27,96,100,6.89,2020-10-23
382,Nhulunbuy,AU,-12.23,136.77,87.8,52,20,10.29,2020-10-23
383,Tando jam,PK,25.43,68.54,97.9,9,0,8.84,2020-10-23
384,Mogadishu,SO,2.04,45.34,84.2,66,75,16.11,2020-10-23
385,Alofi,NU,-19.06,-169.92,75.2,94,86,9.17,2020-10-23
386,Hithadhoo,MV,-0.6,73.08,83.41,77,0,12.8,2020-10-23
387,Merauke,ID,-8.47,140.33,81.86,79,82,15.88,2020-10-23
388,Juneau,US,58.3,-134.42,30.99,39,1,10.29,2020-10-23
389,Cururupu,BR,-1.83,-44.87,75.97,86,100,4.56,2020-10-23
390,Capao bonito,BR,-24.01,-48.35,62.38,86,100,8.05,2020-10-23
391,Kortkeros,RU,61.81,51.58,19.4,100,0,4.47,2020-10-23
392,Manokwari,ID,-0.87,134.08,84.4,71,25,6.85,2020-10-23
393,Leh,IN,34.17,77.58,44.51,42,7,7.76,2020-10-23
394,Boguchany,RU,58.38,97.45,37.56,77,100,8.46,2020-10-23
395,Luba,GQ,3.46,8.55,75.2,100,40,2.24,2020-10-23
396,Marystown,CA,47.17,-55.15,45.0,100,38,12.12,2020-10-23
397,Kitob,UZ,39.08,66.83,57.43,35,28,6.58,2020-10-23
398,Pacific grove,US,36.62,-121.92,59.0,87,90,3.36,2020-10-23
399,Safakulevo,RU,54.99,62.54,28.09,87,20,11.41,2020-10-23
400,Esperance,AU,-33.87,121.9,57.2,100,90,8.05,2020-10-23
401,Jutai,BR,-5.18,-68.9,71.11,97,93,1.14,2020-10-23
402,Kohat,PK,33.58,71.45,75.2,47,0,4.7,2020-10-23
403,San lazaro,BZ,18.04,-88.66,73.47,96,69,3.11,2020-10-23
404,Morehead,US,37.27,-87.18,71.6,88,1,9.1,2020-10-23
405,Constitucion,CL,-35.33,-72.42,49.55,83,0,10.25,2020-10-23
406,Port hawkesbury,CA,45.62,-61.35,42.8,87,1,4.7,2020-10-23
407,Eydhafushi,MV,5.1,73.07,82.17,78,100,11.99,2020-10-23
408,Reutte,AT,47.48,10.72,50.0,95,98,2.86,2020-10-23
409,Moranbah,AU,-22.0,148.05,79.56,51,100,23.6,2020-10-23
410,Geraldton,AU,-28.77,114.6,80.6,30,0,24.16,2020-10-23
411,Zeya,RU,53.75,127.27,30.38,90,0,4.88,2020-10-23
412,Baykit,RU,61.67,96.37,30.07,90,99,10.33,2020-10-23
413,Kavaratti,IN,10.57,72.64,80.78,76,83,16.15,2020-10-23
414,Kartaly,RU,53.05,60.65,31.86,81,87,10.85,2020-10-23
415,Kirkwall,GB,58.98,-2.96,46.4,87,75,10.29,2020-10-23
416,Bourail,NC,-21.57,165.48,78.67,67,32,4.94,2020-10-23
417,Brookhaven,US,31.58,-90.44,68.0,96,1,3.4,2020-10-23
418,Northeim,DE,51.7,10.0,59.0,93,100,3.04,2020-10-23
419,Makakilo city,US,21.35,-158.09,80.6,94,1,4.97,2020-10-23
420,Nacozari,MX,25.34,-108.26,78.01,80,0,1.99,2020-10-23
421,Hambantota,LK,6.12,81.12,93.2,56,40,19.46,2020-10-23
422,Bosaso,SO,11.28,49.18,86.0,70,0,3.36,2020-10-23
423,Lichtenau,DE,51.62,8.9,55.0,93,40,2.24,2020-10-23
424,Tevaitoa,PF,-16.78,-151.5,80.22,70,100,9.1,2020-10-23
425,Aklavik,CA,68.22,-135.01,28.4,92,90,8.05,2020-10-23
426,Faanui,PF,-16.48,-151.75,79.47,74,100,10.04,2020-10-23
427,Sioux lookout,CA,50.1,-91.92,24.8,92,75,2.24,2020-10-23
428,Arecibo,PR,18.47,-66.72,73.99,90,0,1.01,2020-10-23
429,Bull savanna,JM,17.89,-77.59,75.87,89,100,9.55,2020-10-23
430,Galveston,US,29.37,-94.97,80.01,83,75,9.17,2020-10-23
431,Kasangulu,CD,-4.59,15.17,77.0,88,75,1.5,2020-10-23
432,San rafael,AR,-34.62,-68.33,59.2,78,42,2.3,2020-10-23
433,Puerto leguizamo,CO,-0.19,-74.78,69.24,97,56,2.44,2020-10-23
434,Imbituba,BR,-28.24,-48.67,69.8,88,75,6.93,2020-10-23
435,Boda,CF,4.32,17.47,74.73,89,100,0.58,2020-10-23
436,Smithers,CA,54.78,-127.17,24.8,85,90,10.29,2020-10-23
437,Zyryanka,RU,65.75,150.85,12.94,93,55,4.12,2020-10-23
438,Namibe,AO,-15.2,12.15,72.5,78,64,5.08,2020-10-23
439,Adwa,ET,14.16,38.9,74.89,29,7,4.25,2020-10-23
440,Juybar,IR,36.64,52.91,69.8,73,0,2.24,2020-10-23
441,Langenburg,DE,49.25,9.85,55.4,93,20,3.36,2020-10-23
442,Tautira,PF,-17.73,-149.15,77.0,83,75,3.36,2020-10-23
443,Faya,SA,18.39,42.45,69.8,17,0,11.41,2020-10-23
444,Ayan,RU,56.45,138.17,33.13,83,3,9.62,2020-10-23
445,Pangkalanbuun,ID,-2.68,111.62,84.85,74,90,5.44,2020-10-23
446,Escuinapa,MX,22.85,-105.8,82.4,83,75,1.07,2020-10-23
447,Samoded,RU,63.61,40.51,29.25,98,100,13.31,2020-10-23
448,Makat,KZ,47.65,53.35,45.1,57,67,8.41,2020-10-23
449,Mnogovershinnyy,RU,53.94,139.92,32.54,96,100,6.17,2020-10-23
450,Dargaville,NZ,-35.93,173.88,61.0,93,47,3.87,2020-10-23
451,Karlivka,UA,49.46,35.13,57.04,56,99,5.79,2020-10-23
452,Huilong,CN,31.81,121.66,66.0,46,6,7.0,2020-10-23
453,Beni suef,EG,29.07,31.1,77.02,51,0,5.37,2020-10-23
454,Corralillo,CU,22.98,-80.59,77.95,86,99,14.14,2020-10-23
455,Pershotravneve,UA,51.39,28.87,53.11,67,52,9.22,2020-10-23
456,Talnakh,RU,69.49,88.4,-0.4,84,40,8.95,2020-10-23
457,Vincennes,FR,48.85,2.43,60.01,93,90,8.05,2020-10-23
458,Sibolga,ID,1.74,98.78,86.43,63,100,3.78,2020-10-23
459,Huamachuco,PE,-7.8,-78.07,45.37,89,7,3.69,2020-10-23
460,Oktyabrskiy,RU,54.48,53.47,34.38,83,78,7.56,2020-10-23
461,Ondjiva,AO,-17.07,15.73,73.4,23,0,9.17,2020-10-23
462,Ulladulla,AU,-35.35,150.47,77.0,53,100,14.99,2020-10-23
463,Peniche,PT,39.36,-9.38,55.0,91,0,6.33,2020-10-23
464,Elizabeth city,US,36.29,-76.25,66.2,100,1,6.93,2020-10-23
465,Rabat,MA,33.99,-6.84,59.0,93,40,4.7,2020-10-23
466,Bodden town,KY,19.28,-81.25,80.01,90,100,1.99,2020-10-23
467,Vung tau,VN,10.35,107.08,82.44,77,100,12.53,2020-10-23
468,Tiznit,MA,29.58,-9.5,59.27,85,100,2.46,2020-10-23
469,Yanggu,CN,36.11,115.78,63.19,25,0,5.59,2020-10-23
470,Kangaba,ML,11.93,-8.42,75.15,65,11,2.48,2020-10-23
471,Sechenovo,RU,55.22,45.89,39.94,95,100,11.92,2020-10-23
472,Kadiri,IN,14.12,78.17,80.71,70,97,5.39,2020-10-23
473,Mayo,US,38.89,-76.51,66.2,100,40,3.36,2020-10-23
474,Port-cartier,CA,50.03,-66.87,30.99,100,40,3.36,2020-10-23
475,Kenai,US,60.55,-151.26,35.01,63,1,10.29,2020-10-23
476,Lewiston,US,44.1,-70.21,52.0,93,90,2.33,2020-10-23
477,Sarosd,HU,47.04,18.64,50.0,100,75,9.64,2020-10-23
478,Sadiqabad,PK,28.31,70.13,96.6,8,0,7.31,2020-10-23
479,Gazanjyk,TM,39.24,55.52,66.34,30,0,6.91,2020-10-23
480,Broken hill,AU,-31.95,141.43,64.4,88,90,8.05,2020-10-23
481,Valerianovsk,RU,58.76,59.55,27.23,88,0,3.8,2020-10-23
482,Aki,JP,33.5,133.9,69.8,46,20,18.34,2020-10-23
483,Homer,US,59.64,-151.55,44.01,52,100,8.99,2020-10-23
484,Flin flon,CA,54.77,-101.86,22.32,93,2,7.87,2020-10-23
485,Umm kaddadah,SD,13.6,26.69,87.46,12,0,20.02,2020-10-23
486,Santo tomas,PH,14.11,121.14,88.0,66,40,17.22,2020-10-23
487,Siyabuswa,ZA,-25.11,29.04,79.9,37,0,3.02,2020-10-23
488,Asyut,EG,27.18,31.18,75.2,50,0,11.41,2020-10-23
489,Lasa,IT,46.62,10.7,51.01,100,90,4.7,2020-10-23
490,Kaeo,NZ,-35.1,173.78,64.0,87,18,3.0,2020-10-23
491,Dawei,MM,14.08,98.2,84.72,74,100,5.32,2020-10-23
492,Havre-saint-pierre,CA,50.23,-63.6,30.2,80,1,5.82,2020-10-23
493,Mersing,MY,2.43,103.84,86.0,79,40,6.93,2020-10-23
494,Port augusta,AU,-32.5,137.77,60.8,100,90,19.46,2020-10-23
495,Kargasok,RU,59.06,80.86,33.66,89,99,5.03,2020-10-23
496,Voh,NC,-20.97,164.7,76.78,78,3,3.27,2020-10-23
497,Maxixe,MZ,-23.86,35.35,78.8,57,40,4.7,2020-10-23
498,Skjervoy,NO,70.03,20.97,28.4,92,75,4.7,2020-10-23
499,Preobrazheniye,RU,42.9,133.91,43.25,63,7,12.35,2020-10-23
500,Jam sahib,PK,26.3,68.63,87.8,33,0,4.7,2020-10-23
501,Chaoyang,CN,41.57,120.46,51.46,38,0,12.44,2020-10-23
502,Kidal,ML,18.44,1.41,82.92,14,0,14.58,2020-10-23
503,Muros,ES,42.78,-9.06,53.01,95,15,5.01,2020-10-23
504,Balclutha,NZ,-46.23,169.75,52.48,96,100,2.04,2020-10-23
505,Chesma,RU,53.81,60.65,29.88,81,0,9.4,2020-10-23
506,Beaune,FR,47.08,4.75,57.2,100,90,5.82,2020-10-23
507,Eyl,SO,7.98,49.82,87.13,53,14,6.02,2020-10-23
508,Gushikawa,JP,26.35,127.87,69.8,73,90,14.99,2020-10-23
509,Sapouy,BF,11.55,-1.77,75.38,42,0,3.58,2020-10-23
510,Ouallam,NE,14.32,2.09,84.69,14,0,7.56,2020-10-23
511,Ramos arizpe,MX,25.55,-100.97,64.4,42,5,3.51,2020-10-23
512,Stary sacz,PL,49.56,20.64,50.0,100,28,11.99,2020-10-23
513,Ola,RU,59.58,151.28,34.83,87,100,12.84,2020-10-23
514,Villa bruzual,VE,9.33,-69.12,73.06,92,79,2.57,2020-10-23
515,Oussouye,SN,12.48,-16.55,80.6,88,20,6.93,2020-10-23
516,Inta,RU,66.03,60.17,26.1,98,96,9.55,2020-10-23
517,Carlsbad,US,33.16,-117.35,66.99,77,90,2.82,2020-10-23
518,Stuhr,DE,53.03,8.75,51.01,93,20,5.82,2020-10-23
519,Asau,RO,46.43,26.4,60.01,51,0,6.76,2020-10-23
520,Gatun,PA,9.29,-79.77,78.8,100,16,4.7,2020-10-23
521,Araouane,ML,18.9,-3.53,84.25,14,0,9.62,2020-10-23
522,Vilyuysk,RU,63.76,121.62,30.47,95,100,13.67,2020-10-23
523,Salinopolis,BR,-0.61,-47.36,78.57,83,100,10.76,2020-10-23
524,Nishihara,JP,26.18,127.76,69.8,77,90,13.87,2020-10-23
525,Nelson bay,AU,-32.72,152.15,78.8,61,4,12.75,2020-10-23
526,Derzhavinsk,KZ,51.1,66.32,34.75,76,66,14.54,2020-10-23
527,Naron,ES,43.52,-8.15,55.99,93,75,6.93,2020-10-23
528,Phalaborwa,ZA,-23.94,31.14,68.0,88,100,1.12,2020-10-23
529,Porto novo,BJ,6.5,2.6,80.6,88,40,9.17,2020-10-23
530,Batticaloa,LK,7.71,81.69,88.34,55,100,9.73,2020-10-23
531,Bud,US,39.45,-86.18,66.0,88,0,4.7,2020-10-23
532,Trelew,AR,-43.25,-65.31,66.94,43,100,16.93,2020-10-23
533,Dahuk,IQ,36.87,42.99,81.88,15,0,1.74,2020-10-23
534,Omboue,GA,-1.57,9.26,79.38,82,100,7.72,2020-10-23
535,Pachperwa,IN,27.52,82.65,87.94,40,0,7.58,2020-10-23
536,Tecoanapa,MX,16.52,-98.75,76.42,90,99,4.38,2020-10-23
537,Aginskoye,RU,51.1,114.53,44.01,57,0,6.64,2020-10-23
538,Sao joao da barra,BR,-21.64,-41.05,70.03,74,50,6.26,2020-10-23
539,Tortoli,IT,39.93,9.66,68.0,88,75,11.41,2020-10-23
540,Atar,MR,20.52,-13.05,79.45,42,0,9.82,2020-10-23
541,Rizhao,CN,35.43,119.46,59.81,34,0,11.18,2020-10-23
542,Ville-marie,CA,47.33,-79.43,32.0,93,90,9.17,2020-10-23
543,Comodoro rivadavia,AR,-45.87,-67.5,53.6,66,0,1.12,2020-10-23
544,Lachhmangarh,IN,27.82,75.03,91.71,11,0,6.78,2020-10-23
545,Taltal,CL,-25.4,-70.48,55.76,77,59,1.66,2020-10-23
546,Mao,ES,39.89,4.27,66.2,93,0,6.93,2020-10-23
547,Bathsheba,BB,13.22,-59.52,80.6,88,75,17.22,2020-10-23
548,Katsuura,JP,35.13,140.3,64.4,93,75,5.82,2020-10-23
549,Nsukka,NG,6.86,7.39,73.17,97,91,4.92,2020-10-23
550,Ahipara,NZ,-35.17,173.17,61.61,91,24,5.88,2020-10-23
551,Jalu,LY,29.03,21.55,67.14,52,0,5.41,2020-10-23
552,Saint-joseph,RE,-21.37,55.62,80.6,57,0,18.34,2020-10-23
553,Upington,ZA,-28.45,21.26,78.8,24,0,13.87,2020-10-23
554,Amuntai,ID,-2.42,115.25,95.92,38,65,4.21,2020-10-23
555,Pilar,BR,-9.6,-35.96,73.4,94,40,1.12,2020-10-23
556,Raul soares,BR,-20.1,-42.45,67.32,83,100,2.77,2020-10-23
557,Nantucket,US,41.28,-70.1,55.0,91,90,8.05,2020-10-23
558,Sobolevo,RU,54.43,31.9,50.65,90,98,11.92,2020-10-23
559,Tay ninh,VN,11.3,106.1,84.97,64,100,5.19,2020-10-23
560,Lata,PT,40.16,-8.33,55.0,92,0,2.66,2020-10-23
561,Lincoln,US,40.8,-96.67,36.0,80,90,19.46,2020-10-23
562,Ixtapa,MX,20.7,-105.2,81.0,95,52,1.16,2020-10-23
563,Nizhniy baskunchak,RU,48.22,46.83,52.34,58,100,17.22,2020-10-23
564,Ternate,ID,0.8,127.4,83.86,76,26,6.96,2020-10-23
565,Veinticinco de mayo,AR,-35.43,-60.17,57.99,99,100,1.99,2020-10-23
566,Mineiros,BR,-17.57,-52.55,70.0,81,92,1.19,2020-10-23
